[1073992.040044] systemd-journald[788]: Vacuuming done, freed 0B of archived journals on disk.
[1073993.001807] tee (23162): drop_caches: 3
[1073993.371815] Running randread depth 8 jobs 1 size 16K zc 0 remote zc 0 zcrc 0
[1074052.448527] cpu_profile: calibration  average is 24 clock cycles, min is 24, max is 28 
[1074072.499722] nvme_tcp: tracing_off  cpu            count              sum             sum2              min              max 
[1074303.189319] nvme_tcp: copy   16                0                0                0                0                0
[1074303.201405] nvme_tcp: copy   17                0                0                0                0                0
[1074303.223641] nvme_tcp: copy   18                0                0                0                0                0
[1074303.235724] nvme_tcp: copy   19                0                0                0                0                0
[1074303.247808] nvme_tcp: copy   20                0                0                0                0                0
[1074303.259890] nvme_tcp: copy   21                0                0                0                0                0
[1074303.271974] nvme_tcp: copy   22                0                0                0                0                0
[1074303.284057] nvme_tcp: copy   23                0                0                0                0                0
[1074303.296140] nvme_tcp: copy   24                0                0                0                0                0
[1074303.308222] nvme_tcp: copy   25                0                0                0                0                0
[1074303.320305] nvme_tcp: copy   26                0                0                0                0                0
[1074303.332388] nvme_tcp: copy   27                0                0                0                0                0
[1074303.344472] nvme_tcp: crc    0                0       2837566600                0                0                0
[1074303.356456] nvme_tcp: crc    1                0                0                0                0                0
[1074303.368441] nvme_tcp: crc    2                0                0                0                0                0
[1074303.380426] nvme_tcp: crc    3                0                0                0                0                0
[1074303.392413] nvme_tcp: crc    4                0                0                0                0                0
[1074303.404397] nvme_tcp: crc    5                0                0                0                0                0
[1074303.416383] nvme_tcp: crc    6                0                0                0                0                0
[1074303.428367] nvme_tcp: crc    7                0                0                0                0                0
[1074303.440352] nvme_tcp: crc    8                0                0                0                0                0
[1074303.452337] nvme_tcp: crc    9                0                0                0                0                0
[1074303.464323] nvme_tcp: crc   10                0                0                0                0                0
[1074303.476309] nvme_tcp: crc   11                0                0                0                0                0
[1074303.488293] nvme_tcp: crc   12                0                0                0                0                0
[1074303.500279] nvme_tcp: crc   13                0                0                0                0                0
[1074303.512265] nvme_tcp: crc   14                0                0                0                0                0
[1074303.524251] nvme_tcp: crc   15                0                0                0                0                0
[1074303.536236] nvme_tcp: crc   16                0                0                0                0                0
[1074303.548221] nvme_tcp: crc   17                0                0                0                0                0
[1074303.560207] nvme_tcp: crc   18                0                0                0                0                0
[1074303.572193] nvme_tcp: crc   19                0                0                0                0                0
[1074303.584178] nvme_tcp: crc   20                0                0                0                0                0
[1074303.596163] nvme_tcp: crc   21                0                0                0                0                0
[1074303.608175] nvme_tcp: crc   22                0                0                0                0                0
[1074303.620161] nvme_tcp: crc   23                0                0                0                0                0
[1074303.632144] nvme_tcp: crc   24                0                0                0                0                0
[1074303.644120] nvme_tcp: crc   25                0                0                0                0                0
[1074303.656103] nvme_tcp: crc   26                0                0                0                0                0
[1074303.668091] nvme_tcp: crc   27                0                0                0                0                0
[1074303.680075] nvme_tcp: tx_crc    0                0                0                0                0                0
[1074303.692355] nvme_tcp: tx_crc    1                0                0                0                0                0
[1074303.704633] nvme_tcp: tx_crc    2                0                0                0                0                0
[1074303.716911] nvme_tcp: tx_crc    3                0                0                0                0                0
[1074303.729190] nvme_tcp: tx_crc    4                0                0                0                0                0
[1074303.741467] nvme_tcp: tx_crc    5                0                0                0                0                0
[1074303.753746] nvme_tcp: tx_crc    6                0                0                0                0                0
[1074303.766023] nvme_tcp: tx_crc    7                0                0                0                0                0
[1074303.778302] nvme_tcp: tx_crc    8                0                0                0                0                0
[1074303.790579] nvme_tcp: tx_crc    9                0                0                0                0                0
[1074303.802854] nvme_tcp: tx_crc   10                0                0                0                0                0
[1074303.815132] nvme_tcp: tx_crc   11                0                0                0                0                0
[1074303.827501] nvme_tcp: tx_crc   12                0                0                0                0                0
[1074303.839782] nvme_tcp: tx_crc   13                0                0                0                0                0
[1074303.852060] nvme_tcp: tx_crc   14                0                0                0                0                0
[1074303.864338] nvme_tcp: tx_crc   15                0                0                0                0                0
[1074303.876614] nvme_tcp: tx_crc   16                0                0                0                0                0
[1074303.888891] nvme_tcp: tx_crc   17                0                0                0                0                0
[1074303.901169] nvme_tcp: tx_crc   18                0                0                0                0                0
[1074303.913444] nvme_tcp: tx_crc   19                0                0                0                0                0
