test,bandwidth,cpu,copy_cycles_0,perf_cycles,rd_runtime,blocksize,zerocopy,rd_bw,rd_iops,iodepth,Total_rx_bytes,Total_rx_packets,Total_tx_packets,crc_cycles_0,cpu_1,copy_cycles_0_std,crc_cycles_0_std,perf_cycles_std,cpu_1_std
fio-256K-1-0-0-1,4.00,2.48,164997112.369,26738839194.1,30001.0,256K,0,523220.6,2043.4,1,581620547.5,388304.5,12793.12,212258364.144,58.00,291080.213536,229684.446765,106659850.577,0.00,
fio-16K-256-0-0-0,6.00,3.96,0,61260116488.2,29871.2,16K,0,743602.4,46466.1,256,800116616.38,541210.12,35658.38,219480284.8,99.00,0,0.0,86449294.7486,0.00,
fio-256K-2-0-0-1,7.00,2.85,216792257.131,37571142742.8,30001.0,256K,0,810988.1,3167.3,2,904424216.0,603341.38,13503.5,270087278.769,68.00,459799.343284,397457.208096,265511818.822,0.00,
fio-256K-2-0-0-0,7.00,2.84,0,36792020833.8,30001.0,256K,0,844036.6,3296.5,2,904017027.25,603081.5,13534.38,269620191.2,68.00,0,0.0,111416718.463,0.00,
fio-64K-1-0-0-0,1.88,2.20,0,23871820657.4,30001.0,64K,0,303489.3,4741.7,1,330561146.25,224367.38,20255.75,135590788.0,50.62,0,0.0,1740501255.21,3.74,
fio-64K-1-0-0-1,2.00,2.32,96956705.225,26910703677.4,30001.0,64K,0,316571.1,4946.0,1,356261584.25,242291.88,21741.38,135052681.281,53.38,1511207.81288,2010928.74685,520544241.997,0.70,
fio-1024K-32-0-0-0,11.00,3.93,722324558.2,61824177904.7,30006.8,1024K,0,1298492.2,1266.6,32,1390650329.33,920223.0,3341.33,353089600.6,99.00,0.0,0.0,86068006.0979,0.00,
fio-1024K-32-0-0-1,11.00,3.93,721846802.8,61904397657.3,30005.6,1024K,0,1255237.2,1224.4,32,1392629366.33,921377.33,3345.33,353937759.6,99.00,770031.483914,198029.673104,33917428.411,0.00,
fio-16K-8-0-0-0,3.00,3.08,0,44158339920.8,30001.0,16K,0,429577.5,26847.9,8,463182051.38,317560.0,37047.0,140930178.15,74.62,0,0.0,285531451.459,0.48,
fio-16K-8-0-0-1,3.00,3.10,104765086.044,44862493846.5,30001.0,16K,0,414655.2,25915.2,8,461385270.38,316360.0,36766.38,143217257.538,75.00,1373891.41432,1597672.14683,545861902.332,0.71,
fio-64K-2-0-0-1,4.00,2.65,127288380.5,34968063973.6,30001.0,64K,0,465540.0,7273.4,2,512977718.62,347560.38,24464.0,167822251.463,61.75,967071.254528,958178.420017,186133061.786,0.43,
fio-64K-2-0-0-0,4.00,2.62,0,33952690135.9,30001.0,64K,0,482397.4,7537.0,2,518995647.25,351510.38,24686.0,167906167.4,61.62,0,0.0,289114889.661,0.48,
fio-16K-2-0-0-0,2.00,2.95,0,46172187211.1,30001.0,16K,0,278042.9,17377.1,2,299424369.0,209689.5,48903.88,99552161.45,71.00,0,0.0,513390854.606,1.00,
fio-16K-2-0-0-1,2.00,2.96,65284237.6687,46782366758.2,30001.0,16K,0,269349.6,16834.1,2,299988101.38,210091.38,48735.0,100142670.781,71.38,224950.89283,499424.239776,206031875.801,0.48,
fio-4K-512-0-0-0,2.00,3.97,0,61472103215.1,30001.2,4K,0,288385.6,72079.1,512,313867341.5,220726.25,51583.25,100950480.0,100.00,0,0.0,46303647.8387,0.00,
fio-4K-512-0-0-1,2.00,3.98,68424448.05,61495062214.1,30001.0,4K,0,279547.5,69869.6,512,314171578.0,220874.88,50871.12,101797371.15,100.00,938075.779079,1142628.03582,32752647.9102,0.00,
fio-4K-16-0-0-0,1.00,3.13,0,43612956960.2,30001.0,4K,0,169380.0,42344.1,16,183629145.12,130971.88,44825.25,67683257.5,75.62,0,0.0,539802012.984,0.70,
fio-4K-16-0-0-1,1.00,3.17,43340373.6312,45203739578.1,30001.0,4K,0,165876.6,41468.3,16,185264299.75,132250.75,45470.0,68545389.0,77.12,666998.754946,920537.249231,576806459.453,0.78,
fio-64K-32-0-0-1,10.00,3.92,273219999.9,60611118725.4,30001.2,64K,0,1169793.9,18276.5,32,1299333876.5,871324.88,24999.75,338886127.863,98.00,640032.883349,711262.806172,87261898.2513,0.00,
fio-64K-32-0-0-0,10.00,3.91,0,60677532557.6,30001.2,64K,0,1210505.5,18912.6,32,1301731463.5,872964.5,25230.25,340223827.6,98.00,0,0.0,73789479.2721,0.00,
fio-4K-1024-0-0-0,2.00,3.97,0,61469104544.9,30001.0,4K,0,290144.5,72501.6,1024,315675183.38,222010.75,51364.0,100728046.2,100.00,0,0.0,82505113.3933,0.00,
fio-4K-8192-0-0-1,2.00,3.99,152214347.225,61507986917.1,30002.0,4K,0,250553.9,62365.1,8192,278723512.25,196198.5,52305.12,89839602.25,100.00,1297679.51419,698916.478647,47333598.8391,0.00,
fio-4K-8192-0-0-0,2.00,3.97,0,61506953699.9,30001.9,4K,0,258686.4,64398.1,8192,279931065.5,197119.0,52710.5,90655896.6,100.00,0,0.0,55326419.4606,0.00,
fio-1024K-128-0-0-1,10.00,3.93,824270630.8,61951292224.7,30013.0,1024K,0,1169310.4,1137.2,128,1293739417.67,855818.67,3061.0,328595616.133,100.00,351758.831408,153106.127734,20571486.7264,0.00,
fio-1024K-128-0-0-0,10.00,3.94,839491982.8,61928477129.7,30007.6,1024K,0,1207679.2,1174.6,128,1290040054.33,853372.0,3058.67,334451348.8,100.00,0.0,0.0,15295343.1363,0.00,
fio-1024K-512-0-0-1,10.00,3.92,817971821.6,61927217614.7,30013.0,1024K,0,1174605.6,1129.6,512,1284026534.0,849454.33,3083.67,326236089.0,100.00,167621.620219,136676.804622,2534544.58225,0.00,
fio-1024K-8-0-0-0,13.00,3.71,354973462.4,61928953298.7,30004.0,1024K,0,1591138.0,1553.0,8,1706694021.67,1132787.33,10358.33,429473120.8,93.00,0.0,0.0,4448093.10251,0.00,
fio-1024K-8-0-0-1,13.00,3.71,355425531.8,61929701359.7,30004.2,1024K,0,1534364.8,1497.6,8,1700109630.33,1128306.67,9644.67,429488721.2,93.00,111555.138528,81429.4913043,2128581.45956,0.00,
fio-16K-4096-0-0-0,5.00,3.97,0,61505356307.2,30001.8,16K,0,601867.9,37479.8,4096,644814300.12,436006.75,36021.75,176610373.4,100.00,0,0.0,20603317.7119,0.00,
fio-64K-2048-0-0-1,7.50,3.97,683253593.625,61533226764.1,30002.2,64K,0,896337.5,13936.5,2048,990948231.25,664328.62,15617.75,259203016.425,100.00,27529363.4505,4881434.63853,12574759.813,0.00,
fio-16K-2048-0-0-1,5.00,3.99,368202357.975,61480278434.6,30002.0,16K,0,623443.1,38896.4,2048,691186684.0,467728.12,33407.88,190757811.625,100.00,1222213.80172,942921.696691,21388029.2092,0.00,
fio-16K-2048-0-0-0,5.00,3.97,0,61486773821.0,30001.4,16K,0,643849.2,40171.9,2048,692791082.88,468874.5,33703.12,190437009.4,100.00,0,0.0,62801926.9461,0.00,
fio-16K-4-0-0-0,3.00,3.08,0,45433933870.4,30001.0,16K,0,359504.2,22468.5,4,386382914.75,267458.75,43471.12,124247992.95,74.88,0,0.0,443669112.275,0.60,
fio-16K-4-0-0-1,2.88,3.07,85758632.6688,45476178939.5,30001.0,16K,0,342483.0,21404.6,4,378513945.75,262072.38,42471.5,122766073.125,74.25,739689.241963,974403.501696,392507940.005,0.43,
fio-1024K-16-0-0-0,13.00,3.73,383405365.2,61909329330.0,30008.2,1024K,0,1572030.8,1534.0,16,1685062608.33,1117838.0,10423.33,425581560.0,93.67,0.0,0.0,5633182.70672,0.47,
fio-1024K-16-0-0-1,13.00,3.70,361048194.667,61916082210.3,30009.6,1024K,0,1516242.4,1479.8,16,1676430404.67,1112116.0,10478.0,423477348.6,92.67,10508699.4503,1714526.40928,24285539.6672,0.47,
fio-1024K-8192-0-0-1,10.00,3.92,819232239.533,62338077753.7,30012.0,1024K,0,1437284.4,1130.2,8192,1286765986.0,851271.67,3075.67,326783180.0,100.00,35039.1327828,46822.3897545,64304873.7414,0.00,
fio-256K-4-0-0-1,10.00,3.38,272940027.1,52895397202.1,30001.0,256K,0,1166430.6,4555.7,4,1297459173.88,864097.75,19619.88,334632960.925,83.12,750754.290636,782943.847675,131264830.926,0.33,
fio-256K-4-0-0-0,10.00,3.38,0,52677832764.8,30001.0,256K,0,1212727.6,4736.5,4,1301400899.0,866828.88,19931.88,334801975.5,83.12,0,0.0,145567439.819,0.33,
fio-16K-1024-0-0-0,6.00,3.97,0,61472730476.5,29918.8,16K,0,743579.1,46439.2,1024,800664900.25,541612.5,35514.75,222159978.6,100.00,0,0.0,61989819.6303,0.00,
